sub_course,total_seats,class_schedule,class_length,enroll,evals_made,rcmd_class,rcmd_instr,study_hr_wk,avg_grade_exp,avg_grade_rec,department_name,capacity_utilization
USP 147,146.0,TuTh,80.0,136.0,51.0,94.0,94.0,4.74,3.71,3.53,Urban Studies and Planning,0.932
USP 150,40.0,TuTh,80.0,40.0,14.0,100.0,92.9,4.93,3.75,3.07,Urban Studies and Planning,1.0
USP 153,55.0,TuTh,80.0,53.0,14.0,100.0,100.0,4.36,3.36,3.25,Urban Studies and Planning,0.964
USP 172,25.0,Tu,170.0,25.0,10.0,100.0,100.0,5.7,4.0,3.88,Urban Studies and Planning,1.0
USP 177A,25.0,Th,170.0,22.0,4.0,100.0,100.0,3.0,3.67,3.97,Urban Studies and Planning,0.88
USP 177B,20.0,Th,170.0,20.0,7.0,100.0,100.0,7.07,3.86,3.73,Urban Studies and Planning,1.0
VIS 31,75.0,TuTh,80.0,74.0,29.0,100.0,100.0,2.43,3.89,3.99,Visual Arts,0.987
VIS 102,75.0,MW,80.0,75.0,29.0,92.6,96.3,4.94,3.7,3.47,Visual Arts,1.0
VIS 103,75.0,MW,80.0,68.0,20.0,94.4,100.0,3.94,3.87,3.72,Visual Arts,0.907
VIS 106A,25.0,MW,170.0,24.0,9.0,100.0,100.0,9.75,3.75,3.85,Visual Arts,0.96
VIS 106B,25.0,TuTh,170.0,25.0,9.0,87.5,50.0,6.0,3.38,3.74,Visual Arts,1.0
VIS 124E,32.0,TuTh,80.0,32.0,5.0,100.0,100.0,5.7,3.75,3.41,Visual Arts,1.0
VIS 126AN,75.0,MW,80.0,69.0,16.0,100.0,93.8,5.0,3.5,3.67,Visual Arts,0.92
VIS 127B,146.0,TuTh,80.0,135.0,29.0,80.0,84.0,3.94,3.64,3.56,Visual Arts,0.925
VIS 128A,75.0,MW,80.0,71.0,15.0,93.3,100.0,3.17,3.91,3.79,Visual Arts,0.947
VIS 150,32.0,TuTh,80.0,30.0,6.0,60.0,40.0,4.9,3.0,3.71,Visual Arts,0.938
VIS 164,22.0,TuTh,170.0,21.0,17.0,100.0,100.0,5.88,3.88,3.93,Visual Arts,0.955
VIS 164,22.0,MW,170.0,21.0,17.0,100.0,100.0,5.88,3.88,3.93,Visual Arts,0.955
VIS 167,22.0,MW,170.0,22.0,15.0,100.0,100.0,5.7,3.87,3.81,Visual Arts,1.0
VIS 168,22.0,TuTh,170.0,22.0,10.0,90.0,90.0,8.3,3.8,3.4,Visual Arts,1.0
VIS 174,22.0,MW,170.0,21.0,9.0,100.0,100.0,5.64,3.83,3.62,Visual Arts,0.955
VIS 175,22.0,TuTh,170.0,22.0,13.0,100.0,100.0,7.67,3.92,3.88,Visual Arts,1.0
VIS 178,22.0,TuTh,170.0,22.0,9.0,100.0,100.0,7.39,3.89,3.88,Visual Arts,1.0
VIS 183A,22.0,MW,170.0,22.0,16.0,87.5,93.8,6.5,3.88,3.75,Visual Arts,1.0
